Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_2,Chrome 75.0.3770.142,,,2019-07-25 10:37:14,2019-07-25 10:38:18,1m - 3.763s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Chrome 75.0.3770.142,,,2019-07-25 10:37:15,2019-07-25 10:37:47,32.488s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-25 10:37:15,2019-07-25 10:37:23,7.745s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-25 10:37:23,2019-07-25 10:37:27,4.201s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Chrome 75.0.3770.142,,,2019-07-25 10:37:27,2019-07-25 10:37:44,16.384s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Chrome 75.0.3770.142,,,2019-07-25 10:37:44,2019-07-25 10:37:44,0.298s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Chrome 75.0.3770.142,,,2019-07-25 10:37:44,2019-07-25 10:37:45,1.351s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Chrome 75.0.3770.142,,,2019-07-25 10:37:45,2019-07-25 10:37:46,1.225s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Chrome 75.0.3770.142,,,2019-07-25 10:37:46,2019-07-25 10:37:47,0.119s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-25 10:37:47,2019-07-25 10:37:47,0.600s,FAILED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Chrome 75.0.3770.142,,,2019-07-25 10:37:47,2019-07-25 10:38:18,30.891s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 75.0.3770.142,,,2019-07-25 10:37:47,2019-07-25 10:38:12,24.488s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-25 10:38:12,2019-07-25 10:38:16,4.129s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 75.0.3770.142,,,2019-07-25 10:38:16,2019-07-25 10:38:16,0.457s,PASSED
"waitForElementPresent(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 2)",Chrome 75.0.3770.142,,,2019-07-25 10:38:16,2019-07-25 10:38:17,0.040s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 75.0.3770.142,,,2019-07-25 10:38:17,2019-07-25 10:38:17,0.156s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 75.0.3770.142,,,2019-07-25 10:38:17,2019-07-25 10:38:17,0.182s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 75.0.3770.142,,,2019-07-25 10:38:17,2019-07-25 10:38:17,0.447s,PASSED
"verifyTextPresent(""Make Appointment"", false, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-25 10:38:17,2019-07-25 10:38:17,0.072s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-25 10:38:17,2019-07-25 10:38:18,0.629s,PASSED
